Month,Pcp,MaxT,AvgT,MinT
Jan,29.3,19.6,13.1,6.6
Feb,35.8,21.8,15.1,8.3
Mar,28.4,26.4,19.3,12.1
Apr,29.8,30.8,23.5,16.3
May,62.9,32.0,25.8,19.5
Jun,176.8,31.2,26.3,21.3
Jul,306.5,28.8,25.2,21.6
Aug,285.2,29.1,25.2,21.3
Sep,165.6,29.1,24.6,20.1
Oct,39.3,27.9,21.9,15.9
Nov,7.4,24.7,17.9,11.2
Dec,14.3,21.1,14.4,7.7
