date,rice-wheat,rice-vegetable-rice,date1,rice-wheat1,rice-wheat-mungbean,date2,rice-wheat2,rice-wheat-potato,date3,rice-lentil,rice-irrigated maize
2000-2020,7.3,11.72,2000-2020,8.8,19.28,2000-2020,8.241,11.55,2000-2020,7.4,8.0
2021-2035,6.5,8.26,2021-2035,7.6,14.85,2021-2035,7.557,10.53,2021-2035,6.7,6.5
2035-2050,6.0,8.56,2035-2050,7.1,13.27,2035-2050,7.119,9.35,2035-2050,6.5,5.5
