date_1,K_RWB,K_RvegR,date_2,K_RL,K_RiM,date_3,B_RW,B_RVR,date_4,B_RL ,B_RiM,date_5,WR_RL,WR_RiM,date_6,M_RWB,M_Rwi,date_7,WR_RWM,WR_RWM_M,WR_RWM_WM,date_8,WR_RWB,WR_RWP,WR_RWP_WP
7/1/2027,-1.566756154,-1.583346667,7/1/2027,-1.585438182,-1.583346667,1/1/2027,-0.893116086,-0.893116086,1/1/2027,-0.891950995,-0.89190345,1/1/2027,-1.8293924,-1.82930968,1/1/2027,-1.744798553,-1.743245855,1/1/2028,-1.464480227,-1.451070273,-1.558407409,1/1/2027,-1.612725491,-1.730718624,-1.660652595
1/1/2028,-1.481236007,-1.507785364,1/1/2028,-1.512288515,-1.507785364,7/1/2027,-0.957334293,-0.957334293,7/1/2027,-0.975579016,-0.97339685,7/1/2027,-1.86040084,-1.86071702,7/1/2027,-1.741946513,-1.760313237,7/1/2028,-1.495080621,-1.560349606,-1.588114636,7/1/2027,-1.643733931,-1.735568673,-1.6719717
7/1/2028,-1.55902286,-1.570656485,7/1/2028,-1.571008424,-1.570656485,1/1/2028,-0.887973698,-0.887973698,1/1/2028,-0.887236496,-0.886779491,1/1/2028,-1.82894872,-1.82891842,1/1/2028,-1.74692261,-1.761013009,1/1/2029,-1.490039061,-1.504129379,-1.593359167,1/1/2028,-1.612281811,-1.741100663,-1.666939806
1/1/2029,-1.550117889,-1.542254606,1/1/2029,-1.548730848,-1.542254606,7/1/2028,-0.922566871,-0.922566871,7/1/2028,-0.939051322,-0.935948148,7/1/2028,-1.85261928,-1.85243108,7/1/2028,-1.74278614,-1.747842018,7/1/2029,-1.469714576,-1.548115788,-1.590293864,7/1/2028,-1.635952371,-1.747524762,-1.664018227
7/1/2029,-1.557650772,-1.558747848,7/1/2029,-1.56130497,-1.558747848,1/1/2029,-0.900629448,-0.900629448,1/1/2029,-0.900385145,-0.900084858,1/1/2029,-1.83265966,-1.83264936,1/1/2029,-1.744634851,-1.748948092,1/1/2030,-1.463501152,-1.456177864,-1.582584379,1/1/2029,-1.615992751,-1.76814398,-1.678581385
1/1/2030,-1.505589713,-1.507133394,1/1/2030,-1.506058758,-1.507133394,7/1/2029,-0.921639362,-0.921639362,7/1/2029,-0.909471794,-0.90821045,7/1/2029,-1.84170774,-1.84158966,7/1/2029,-1.738251798,-1.750861184,7/1/2030,-1.465358909,-1.518273318,-1.566213833,7/1/2029,-1.625040831,-1.763982277,-1.667354069
7/1/2030,-1.545989831,-1.542526742,7/1/2030,-1.540821667,-1.542526742,1/1/2030,-0.884666828,-0.884666828,1/1/2030,-0.878432496,-0.878034879,1/1/2030,-1.82275722,-1.82272744,1/1/2030,-1.74792136,-1.743547048,1/1/2031,-1.491155667,-1.491761303,-1.607113136,1/1/2030,-1.606090311,-1.761939297,-1.671254964
1/1/2031,-1.576733801,-1.554621667,1/1/2031,-1.55519347,-1.554621667,7/1/2030,-0.903405871,-0.903405871,7/1/2030,-0.915242981,-0.913137526,7/1/2030,-1.83761298,-1.83757726,7/1/2030,-1.742209632,-1.756133526,7/1/2031,-1.495147288,-1.54735047,-1.611331258,7/1/2030,-1.620946071,-1.76985497,-1.667138542
7/1/2031,-1.55386586,-1.582030924,7/1/2031,-1.586032227,-1.582030924,1/1/2031,-0.893288431,-0.893288431,1/1/2031,-0.888378064,-0.888622386,1/1/2031,-1.82596278,-1.82590062,1/1/2031,-1.727651904,-1.730741171,1/1/2032,-1.400322788,-1.370684152,-1.519378576,1/1/2031,-1.609295871,-1.780842257,-1.6844017
1/1/2032,-1.444813801,-1.412448439,1/1/2032,-1.4141135,-1.412448439,7/1/2031,-0.913597319,-0.913597319,7/1/2031,-0.924155306,-0.921636408,7/1/2031,-1.84499634,-1.84497912,7/1/2031,-1.735427061,-1.746330303,7/1/2032,-1.490224818,-1.557250455,-1.570479894,7/1/2031,-1.628329431,-1.781469495,-1.671710121
